feature_index,shap_value,feature_value
10,0.05660249388852368,1.5660882755815138
91,0.04164266880419567,4.0173951045110785
52,0.026335602921618177,4.5495451619312135
74,0.025610763436385842,2.9140484298289095
35,0.023867654109716245,2.79721974985805
55,0.01904075547653972,2.7032180796725958
1,0.013069984235424043,4.608438879999841
58,0.012689120254317426,6.835837764855776
5,0.011966130534314305,0.17758055660999114
16,0.01119140664709548,-0.5149958770211497
38,0.01088649255695224,6.2249953518551315
76,0.008729597215932016,5.70937395994491
4,0.006633808989418076,-1.9868818875105254
24,0.0055979870917749665,1.6357070116376085
81,0.0050122848895431706,0.6991142395238205
2,0.004957841245955162,-3.8377817015145874
57,0.004630866946458115,5.455631391389349
75,0.0044635756476195994,5.23311796836671
85,0.00442350275405643,0.6465852492390759
83,0.00440506156498061,-0.25806485760707826
77,0.004267879834988201,5.478103508116761
47,0.004187182671057667,-0.1071362146187806
68,0.003870972400945659,1.2275040812724392
32,0.003804980916225456,0.775282695368598
9,0.0033548721413634115,-0.009460818214941068
60,0.003334142380729428,7.121241281899447
59,0.00323687254136359,7.236191681209502
36,0.00318373584816521,4.732766323515763
23,0.003113328978886889,-1.5494585423473364
56,0.0029712193040094177,5.4874132196849645
64,0.0028177132602068456,0.40779606055173123
33,0.002610547061349488,1.0284571038174681
78,0.0025631058292542703,5.454875963983431
34,0.0025558486818579307,-0.8035844667528727
8,0.0024754232428320206,0.5103456953407812
54,0.002400530814417177,-0.5785921177185769
29,0.0020714046541949155,-0.3261175645219399
45,0.002053633702795109,0.5906703175547642
31,0.002006930221795051,0.07312354576581882
6,0.0018976835569821308,0.946283923535926
28,0.0018519056074628659,-0.7212688714934219
62,0.001634023369494866,-0.7988654792917802
93,0.0015171338774675352,-0.2020044231420479
89,0.0010908737047342731,0.09090478243694446
15,0.0010195557027223039,1.574415919068996
30,0.001009838341797724,-1.0360310841152933
18,0.0008258587622135927,-0.017234328397960803
42,0.0006091785045215532,0.07250477511568473
40,0.0006055320508295343,6.692079361104531
96,0.000556791717353299,-0.16469335194299076
51,0.0005395489295672693,0.3467847980608181
98,0.0004910585050992977,-0.2161062833897989
14,0.0004028755603589402,-1.3760554921239008
94,0.00033056589299560596,-0.2355212601435489
7,0.0003044724584994366,0.27738494017678966
13,0.00020058798504521446,-0.10529812459953106
41,0.0001710178699129446,0.5302005799381027
37,0.00016896131096837786,5.229628295166371
49,1.7182108515430246e-05,1.1041262266046834
92,-4.0216332059097296e-05,-0.11249437848514392
80,-6.404517948943737e-05,0.8522892741246229
53,-8.74991824757752e-05,-0.07384170704582939
21,-8.993809682116699e-05,-0.08081859210721322
25,-9.997956639855467e-05,-0.9588270565179156
39,-0.0001441458417098549,6.7246543104293695
79,-0.00024456006092082535,5.5663094999376215
97,-0.0002673174890101761,-0.17351490323828025
82,-0.0002736538536334108,0.06418944794367663
12,-0.0002891275936257237,0.215144598759332
95,-0.00031495481033476836,0.040054175675515204
73,-0.00038335429252649915,-0.07451477649746996
61,-0.0005509396056756539,0.3339565345321035
11,-0.0006619144883239635,-0.11501039458718734
46,-0.0013720817003146887,-0.27032960553192253
86,-0.001641826662859324,-0.3645806603388995
19,-0.0017047706353875056,0.06806944833412092
71,-0.0019512356186216315,0.4459947801830099
70,-0.0022299394628726306,-0.5183423352386017
88,-0.0024227680085131312,-0.39626726843416366
22,-0.002600771759452477,0.33096952910734445
27,-0.002801667338197993,2.0529969837163993
20,-0.003093608771005579,-0.32839409652906454
63,-0.0034204826258196594,-0.2945821605885404
67,-0.004135678359783678,-0.22011336829781417
69,-0.004269358228138146,-0.8766374086518384
3,-0.005646391250092111,-5.271978718039773
99,-0.006439365094084207,-0.852696109359517
50,-0.006981003331038729,-0.8005177707517898
0,-0.008054061918628175,0.9441042992171457
43,-0.010026316655079444,-0.3154190591096275
26,-0.010134526891649006,1.9537796998159853
48,-0.010863186472546419,-0.23150763471233562
84,-0.011181444660434761,-0.2909180852051256
44,-0.013050384487263696,-0.3085485128971702
90,-0.013363420629214369,-0.8490166923918777
66,-0.01444647075760585,-0.7837339991839434
87,-0.014979129325751805,-0.18862896889757358
65,-0.017813761258645852,-0.2856985579379398
17,-0.02198736394721722,-0.591721839286669
72,-0.04817743764462197,0.5004515823243311
